QUESTION,BT_LEVEL
Define brainstorming process. ,K1-REMEMBER
Describe material gathering process. ,K1-REMEMBER
The structural view of language has several components. List FIVE (5) components. ,K1-REMEMBER
Teacher-prepared materials are the best form of resources for your English language lesson. State FIVE (5) factors that you would consider when preparing your resources. ,K1-REMEMBER
Conducting a set-induction before presentation has several advantages. List the FIVE (5) reasons for use of the set-induction in a lesson. ,K1-REMEMBER
List FIVE (5) activities that you would use in the set-induction stage of a reading lesson Keeping our rivers clean. ,K1-REMEMBER
Choose ONE (1) activity and describe briefly how you plan to carry it out in your reading lesson. ,K1-REMEMBER
List FIVE (5) guidelines for spokesperson to follow during the media interview. ,K1-REMEMBER
List FIVE (5) categories of Intentional Crises and FIVE (5) categories of Unintentional Crises. ,K1-REMEMBER
List FIVE (5) types of trick questions.,K1-REMEMBER
Identify TEN (10) tips during the press conference. ,K1-REMEMBER
Define instructional materials based on your understanding. ,K1-REMEMBER
List TWO (2) importance of using instructional materials in teaching.,K1-REMEMBER
Define instructional materials. ,K1-REMEMBER
List THREE (3) usages of instructional materials to facilitate classroom teaching and learning process. ,K1-REMEMBER
Describe focused task and how it can be used to teach grammar for low  proficiency students. ,K1-REMEMBER
Define schemas. ,K1-REMEMBER
Define attitudes. ,K1-REMEMBER
Define attribution. ,K1-REMEMBER
Define prosocial behaviors. ,K1-REMEMBER
Define prejudice. ,K1-REMEMBER
Identify TWO (2) perspectives that are able to explain the origin of prejudice. ,K1-REMEMBER
List down the environmental factors that an international marketer should consider. ,K1-REMEMBER
Define the Demographic characteristics.,K1-REMEMBER
Describe the advantages of Product Standardization. ,K1-REMEMBER
Describe the Concept of Culture.,K1-REMEMBER
Describe the challenges in global advertising. ,K1-REMEMBER
Describe the function of International Monetary Fund (IMF).,K1-REMEMBER
Identify THREE (3) classification system of economy. ,K1-REMEMBER
Identify any FIVE (5) significances of nonverbal communication in organization. ,K1-REMEMBER
"List any FIVE (5) themes identified by Tom Peters and Robert Waterman for “excellent 
organizations"". ",K1-REMEMBER
Identify FIVE (5) Maslow's Hierarchy of Needs based on organizational context. ,K1-REMEMBER
Identify FIVE (5) effects of organizational communication technology towards communication pattern. ,K1-REMEMBER
Define organizational culture according to Schein (1990). ,K1-REMEMBER
List FIVE (5) phases of organizational conflict described by Pondy (1967). ,K1-REMEMBER
List FIVE (5) elements in downward communication.,K1-REMEMBER
Define Classical approach and Human Relations approach. ,K1-REMEMBER
"In a two-column table, list FIVE (5) tools used in the technology-integrated instruction and the traditional instruction respectively.",K1-REMEMBER
Describe the 5 hierarchical stages of Welliver's Instructional Transformation Model. ,K1-REMEMBER
Define the basic concepts of Educational Technology. ,K1-REMEMBER
Define Educational Technology based on FIVE (5) instructional design view. ,K1-REMEMBER
National income can be calculated using three approaches. State the THREE (3) approaches.,K1-REMEMBER
Define the term 'Production Possibility Curve' as used in the timber and steel factory. ,K1-REMEMBER
"Define and list out the objectives of monetary policy, the quantitative versus qualitative instruments of monetary policy.",K1-REMEMBER
State the THREE (3) approaches to calculate national income.,K1-REMEMBER
Briefly list the different types of building maintenance. ,K1-REMEMBER
"As a supervisor for the brickworks, List FOUR (4) aspects of brick quality control in order to produce good architectural work. ",K1-REMEMBER
"In maintaining concrete quality, identify SEVEN (7) good practices on site. ",K1-REMEMBER
Identify what types of brickwork defects that require rejection from the supervisor. ,K1-REMEMBER
State the five assumptions of an ideal diode. ,K1-REMEMBER
Name a donor atom and acceptor atom for Si. ,K1-REMEMBER
"Standardized, reusable containers have fairly obvious benefits in shipping and within a plant. State five (5) purpose of these devices. ",K1-REMEMBER
List down FIVE (5) types of concrete admixture. ,K1-REMEMBER
List the SEVEN (7) stages of the development process of a building project. ,K1-REMEMBER
List FIVE (5) plant consideration in a construction site. ,K1-REMEMBER
List the SEVEN (7) factors to be considered in the method of excavation and timbering. ,K1-REMEMBER
List FOUR (4) general requirements for floor finishes. ,K1-REMEMBER
List FIVE (5) properties of damp-proof courses. ,K1-REMEMBER
List down THREE (3) methods of excavation. ,K1-REMEMBER
"Besides Field Programmable Gate Array (FPGA), name one other type of programmable logic device. ",K1-REMEMBER
Scaffolding is a temporary frame constructed to support a number of platforms at different heights and to provide workers a safe platform from which to work. Name any FOUR (4) types of scaffolding used in construction industry. ,K1-REMEMBER
Name FOUR (4) types of soil in-situ field test and its application. ,K1-REMEMBER
Name TWO (2) types of laboratory tests. ,K1-REMEMBER
Name the enzyme commonly used to detect liver damage or muscle damage in clinical diagnosis.,K1-REMEMBER
A cascade of zymogen activation occurs both with digestive proteases and blood clotting proteases. List THREE advantages of this activation.,K1-REMEMBER
Name FIVE vital plant processes that herbicides target. ,K1-REMEMBER
State THREE traits that are associated with invasive plants.,K1-REMEMBER
List THREE factors in determining economic thresholds for weeds. ,K1-REMEMBER
State the goal of integrated weed management and its essence.,K1-REMEMBER
List FOUR conditions required in order for an animal population to remain at Hardy-Weinberg equilibrium.,K1-REMEMBER
State the number of autosome and sex-chromosome for a rooster and a hen.,K1-REMEMBER
State THREE advantages of pregnancy diagnosis in animal breeding. ,K1-REMEMBER
State the SIX categories in soil taxonomy. ,K1-REMEMBER
Define soil pH. ,K1-REMEMBER
Define luxury consumption of plant nutrients. ,K1-REMEMBER
List THREE factors that influence the type of irrigation used in agriculture. ,K1-REMEMBER
Define soil bioremediation. ,K1-REMEMBER
"State TWO examples for inorganic and organic contaminants, respectively. ",K1-REMEMBER
State the advantages of no tillage. ,K1-REMEMBER
"Name the amino acid residues with the single letter code ""EQRNHL"". ",K1-REMEMBER
Name the amino acids for the following single letter codes: DMVREL. ,K1-REMEMBER
Name the following conserved amino acids for their corresponding single letter codes: SQYKRECP. ,K1-REMEMBER
State what does the symbol “+” represents. ,K1-REMEMBER
List THREE applications of degenerate PCR amplification.,K1-REMEMBER
State the main missions of National Center for Biotechnology Information (NCBI). ,K1-REMEMBER
Name the following conserved amino acids with their corresponding single letter codes: WMEADK.,K1-REMEMBER
"Define the designation “Frame = -3"".",K1-REMEMBER
Name the THREE types of land application of wastewater. ,K1-REMEMBER
State the purposes of risk assessment. ,K1-REMEMBER
State TWO phenomena that affect the stabilization of colloidal nanoparticles in aqueous medium. ,K1-REMEMBER
List another TWO isotherms besides Langmiur isoterm. ,K1-REMEMBER
List THREE types of Atomic Force Mircroscopes (AFM).,K1-REMEMBER
State TWO phenomena that affect the stabilization of colloidal nanoparticles in aqueous medium. ,K1-REMEMBER
List the information that can be obtained from X-Ray Photoelectron Spectroscopy (XPS). ,K1-REMEMBER
List three characteristics that are unique to the Cubist movement.,K1-REMEMBER
Identify ordinal positions,K1-REMEMBER
Identify fractions from a pictorial representation,K1-REMEMBER
Which of the two liquids is hypotonic ,K1-REMEMBER
Label the parts of the following insects: Grasshopper,K1-REMEMBER
recall the supply voltage constraints,K1-REMEMBER
What is the setting of To Kill a Mockingbird?,K1-REMEMBER
When did you born ?,K1-REMEMBER
in which continent does the state of suriname fall,K1-REMEMBER
Recall the following pictoral example of an implementation of some queue operations,K1-REMEMBER
Identify the correct definition of osmosis.,K1-REMEMBER
List the steps involved in titration.,K1-REMEMBER
List four types of clauses mentioned in the article,K1-REMEMBER
when was the first airport in the yemen built,K1-REMEMBER
Name 5 steps that follow the taking of notes (within 24 hours or less)?,K1-REMEMBER
How much did he pay for his car,K1-REMEMBER
State the rule for using a semicolon in a sentence.,K1-REMEMBER
when did the first saudi radio station open,K1-REMEMBER
List the characteristics peculiar to the Cubist movement.,K1-REMEMBER
List the levels in Bloom's Taxonomy.,K1-REMEMBER
Make a list of facts you learned from the story.,K1-REMEMBER
Who was the writer of the Hamilton ,K1-REMEMBER
Draw the basic outline of a page of notes using the Cornell Method?,K1-REMEMBER
Correctly label the brain lobes indicated on the diagram below,K1-REMEMBER
Which technology is used by laser printer,K1-REMEMBER
Identify the five major prophets of the Old Testament.,K1-REMEMBER
State the characteristics of each type of corrosion testing studied,K1-REMEMBER
Recall basic math facts,K1-REMEMBER
State the definition of application in Bloom's Taxonomy.,K1-REMEMBER
State the formula for the area of a circle,K1-REMEMBER
How many states are there in USA,K1-REMEMBER
About what proportion of the population of the US is living on farms?,K1-REMEMBER
Define the meaning of the Olympic Motto.,K1-REMEMBER
How many years does this animal live?,K1-REMEMBER
"Identify a property (commutative, additive, etc(",K1-REMEMBER
List reserved words in C programming.,K1-REMEMBER
How many loop statement available in c++?,K1-REMEMBER
Who is the first president   of USA,K1-REMEMBER
State four attributes of well engineered software.,K1-REMEMBER
Recall locations of a historical events,K1-REMEMBER
Define four types of traceability.,K1-REMEMBER
What is  your family name,K1-REMEMBER
Draw and label a diagram of a typical stream.,K1-REMEMBER
How much is your weight,K1-REMEMBER
Draw the block diagram of the central processing unit ,K1-REMEMBER
Recall the definition of the formula datatype from your assignment 2.,K1-REMEMBER
What are major facts about particular cultures and societies,K1-REMEMBER
Draw the flow chart of the PNK system,K1-REMEMBER
State the guidelines to design an anodic protection system,K1-REMEMBER
What is a textual index,K1-REMEMBER
when was the UN formed ,K1-REMEMBER
State the pattern for expressing time in French.,K1-REMEMBER
Name the property that states that,K1-REMEMBER
Define mercantilism.,K1-REMEMBER
Identify the standard peripheral components of a computer.,K1-REMEMBER
How many instructions in the instruction set of RISC computer?,K1-REMEMBER
In Which part of the world does he live ,K1-REMEMBER
What are the representational symbols on maps and charts,K1-REMEMBER
State the rule for balls and strikes in baseball.,K1-REMEMBER
State how to find a word in a dictionary,K1-REMEMBER
Identify a phrase as a simile,K1-REMEMBER
What does ICT stands for.,K1-REMEMBER
Which of the following item does not belong to the set ?,K1-REMEMBER
Recall the equation for the Ideal Gas Law.,K1-REMEMBER
What is the title of the first movie you saw ,K1-REMEMBER
How much data can be stored in the cach memory,K1-REMEMBER
Name the artist who painted the Mona Lisa.,K1-REMEMBER
Please label the diagram below:,K1-REMEMBER
Recite a policy of immigration in Europe .,K1-REMEMBER
What are the major products and exports of countries,K1-REMEMBER
How much time did he took to build a house,K1-REMEMBER
Recite the principles of the Data Protection Act.,K1-REMEMBER
What are the units of corrosion penetration rates? Relate these to Faraday's law,K1-REMEMBER
What are the structure or functions of Congress,K1-REMEMBER
"Define stream bank, floodplain and substrate.",K1-REMEMBER
Recite the the Gaussian law,K1-REMEMBER
What is a global variable?,K1-REMEMBER
How much water does an elephant drink,K1-REMEMBER
Label any Olympic sporting apparatus with design features.,K1-REMEMBER
What season are we in right now?,K1-REMEMBER
Identify the part of a eukaryotic cell.,K1-REMEMBER
When did the second world war happen ,K1-REMEMBER
"Recite the poem ""Auto Wreck"".",K1-REMEMBER
when did saudi arabia start using internet,K1-REMEMBER
who was the first man on the moon,K1-REMEMBER
Look at the symbol. What is the symbol’s purpose on a map?,K1-REMEMBER
Name the main characters in the story.,K1-REMEMBER
List three predominant economic systems that exist,K1-REMEMBER
Define compound interest.,K1-REMEMBER
Identify which word begins with the same sound as the s in sun (Knowledge of letter s),K1-REMEMBER
who is the founder of the kingdom of saudi Arabia,K1-REMEMBER
Which of the following is the method for determining the volume of a cylinder?,K1-REMEMBER
 Label the parts of the microscope shown on the right,K1-REMEMBER
which part of a data packet is used by a router to determine the destination network,K1-REMEMBER
Name the food groups and at least two items of food in each group.,K1-REMEMBER
List the procedure to draw a mixed potential or Evans' diagram,K1-REMEMBER
Name the four major food groups.,K1-REMEMBER
who was the first to compose in the arts of makamat,K1-REMEMBER
How many kilometers from your home to the university,K1-REMEMBER
in which countries is arabic language spoken,K1-REMEMBER
Define factors of production.,K1-REMEMBER
Define electronic commerce.,K1-REMEMBER
State any FOUR (4) characteristics of valuable information.,K1-REMEMBER
List and describe THREE (3) accounting cycles in an Accounting Information System.,K1-REMEMBER
State FOUR (4) basic business activities that are performed in the revenue cycle.,K1-REMEMBER
List any THREE (3) practical approaches for payment collection  in revenue cycle.,K1-REMEMBER
Briefly  describe  THREE  (3) types  of business  process  that  traditionally organized around functional areas of business. Provide an example of each.,K1-REMEMBER
Identify ONE (1) most likely error of the following quotation.,K1-REMEMBER
List any TWO (2) real life examples of  the  organization  that implement the clicks-and-bricks B2C E-Commerce.,K1-REMEMBER
Provide THREE (3) examples of input devices.,K1-REMEMBER
List   THREE  (3) advantages  and  TWO  (2)  disadvantages codification.,K1-REMEMBER
Information systems value is determined by the strong relationships among THREE (3) major components. Name them.,K1-REMEMBER
Cloud computing evolved from earlier technologies. State them.,K1-REMEMBER
Define privacy.,K1-REMEMBER
Define the term Radio Frequency Identification (RFID).,K1-REMEMBER
Define knowledge and provide an example of knowledge produced by a vehicle management system.,K1-REMEMBER
Identify PayPal's business model.,K1-REMEMBER
List FIVE (5) functions of Department of Safety and Health as outline in OSHA 1994.,K1-REMEMBER
Define the term project in the context of project management.,K1-REMEMBER
Define standard operating procedures as highlighted.,K1-REMEMBER
Presenting the business plan is very crucial to convince potential consumers and financers. List any SEVEN (7) suggestions for good presentation of your business plan.,K1-REMEMBER
List the advantages and disadvantages of Public Offering.,K1-REMEMBER
Define brand audit.,K1-REMEMBER
"Explain briefly the meaning of the following terms: Demography, Consumer sales promotion , and Media mix",K1-REMEMBER
Name the authors of...?,K1-REMEMBER
Recall the main components of the flowchart,K1-REMEMBER
"Based on the above dataType class, list all the function members",K1-REMEMBER
List the __________________ in descending order,K1-REMEMBER
Name five cities in US.,K1-REMEMBER
List important information you can remember from lesson….,K1-REMEMBER
List the data members,K1-REMEMBER
What do you recall ...?,K1-REMEMBER
Define Inheritance concept,K1-REMEMBER
Recall four facts from the story,K1-REMEMBER
Memorize and recall the periodic table,K1-REMEMBER
List the fractions you know and can show….,K1-REMEMBER
List two local variables in the main function,K1-REMEMBER
List the attributes of the following shape.,K1-REMEMBER
List two reference parameters in the setHour function,K1-REMEMBER
Define Method in JAVA.,K1-REMEMBER
Make a list of the main events of the story.,K1-REMEMBER
Name three 19th-century women English authors.,K1-REMEMBER
Name all the characters in the story.,K1-REMEMBER
Define morphology,K1-REMEMBER
Label the parts of the diagram,K1-REMEMBER
Define factors of production.,K1-REMEMBER
Define electronic commerce.,K1-REMEMBER
State any FOUR (4) characteristics of valuable information.,K1-REMEMBER
List and describe THREE (3) accounting cycles in an Accounting Information System.,K1-REMEMBER
State FOUR (4) basic business activities that are performed in the revenue cycle.,K1-REMEMBER
List any THREE (3) practical approaches for payment collection  in revenue cycle.,K1-REMEMBER
Briefly  describe  THREE  (3) types  of business  process  that  traditionally organized around functional areas of business. Provide an example of each.,K1-REMEMBER
Identify ONE (1) most likely error of the following quotation.,K1-REMEMBER
List any TWO (2) real life examples of  the  organization  that implement the clicks-and-bricks B2C E-Commerce.,K1-REMEMBER
Provide THREE (3) examples of input devices.,K1-REMEMBER
List   THREE  (3) advantages  and  TWO  (2)  disadvantages codification.,K1-REMEMBER
Give FIVE (5) guidelines when creating storyboarding.,K1-REMEMBER
Define pixel.,K1-REMEMBER
Multimedia is shifting from being localized (contained on a CD-ROM) to being distributed (available on the World Wide Web). Give FIVE (5) implications on this.,K1-REMEMBER
Give FOUR (4) advantages of multimedia application in education.,K1-REMEMBER
Describe what multimedia is.,K1-REMEMBER
Define FOUR (4) common authoring metaphors and its advantages and disadvantages.,K1-REMEMBER
Outline THREE (3) uses of digital audio in the multimedia presentation.,K1-REMEMBER
Fill in the detail of typeface properties base on the following illustration.,K1-REMEMBER
"Nancy  intends  to  include  text  for  her  multimedia  presentation.  As a multimedia specialist, provide TWO (2) guidelines to Nancy when working with text.",K1-REMEMBER
Name the keyword in an ABAP program that can be used to invoke the debugging mode.,K1-REMEMBER
Give the three (3) categories of primitive data types and briefly explain what each category is used for.,K1-REMEMBER
Provide three (3) situations whereby it will be useful to use reference variables as parameters.,K1-REMEMBER
Provide the suitable commands to help her to compile and run her Java program.,K1-REMEMBER
Name five types of common dialog boxes.,K1-REMEMBER
State  the  differences  between  Items Add  method  and  Items Insert Method in Combo Box.,K1-REMEMBER
Describe about application and web servers.,K1-REMEMBER
Identify some of the most important possible dimensions that should be included in the data modelling design.,K1-REMEMBER
Describe ANY FIVE (5) possible scenarios of the project failure.,K1-REMEMBER
Identify the HP's challenges in text mining.,K1-REMEMBER
Information systems value is determined by the strong relationships among THREE (3) major components. Name them.,K1-REMEMBER
Cloud computing evolved from earlier technologies. State them.,K1-REMEMBER
Define privacy.,K1-REMEMBER
Define the term Radio Frequency Identification (RFID).,K1-REMEMBER
Define knowledge and provide an example of knowledge produced by a vehicle management system.,K1-REMEMBER
Specify TWO (2) limitations of k-means clustering.,K1-REMEMBER
Identify PayPal's business model.,K1-REMEMBER
State three methods that could be used to determine the adequate number of factors in the solution.,K1-REMEMBER
Indicate the variables that are important in each of the canonical variates.,K1-REMEMBER
Write the first pair of standardised canonical variates.,K1-REMEMBER
Define transgenic crops.,K1-REMEMBER
List four traits commonly used for the development of transgenic crops.,K1-REMEMBER
State TWO (2) advantages of continuous bioreactors over batch bioreactors.,K1-REMEMBER
Name a major culture collection.,K1-REMEMBER
List FIVE (5) functions of Department of Safety and Health as outline in OSHA 1994.,K1-REMEMBER
Define the term project in the context of project management.,K1-REMEMBER
Define standard operating procedures as highlighted.,K1-REMEMBER
List any SEVEN (7) suggestions for good presentation of your business plan as it is very crucial to convince potential consumers and financers.,K1-REMEMBER
List the advantages and disadvantages of Public Offering.,K1-REMEMBER
Define brand audit.,K1-REMEMBER
"Explain briefly the meaning of the following terms: Demography, Consumer sales promotion , and Media mix",K1-REMEMBER
Name the authors of...?,K1-REMEMBER
Recall the main components of the flowchart,K1-REMEMBER
"Based on the above dataType class, list all the function members",K1-REMEMBER
List the __________________ in descending order,K1-REMEMBER
Name five cities in US.,K1-REMEMBER
List important information you can remember from lesson….,K1-REMEMBER
List the data members,K1-REMEMBER
What do you recall ...?,K1-REMEMBER
Define Inheritance concept,K1-REMEMBER
Recall four facts from the story,K1-REMEMBER
Memorize and recall the periodic table,K1-REMEMBER
List the fractions you know and can show….,K1-REMEMBER
List two local variables in the main function,K1-REMEMBER
List the attributes of the following shape.,K1-REMEMBER
List two reference parameters in the setHour function,K1-REMEMBER
Define Method in JAVA.,K1-REMEMBER
Make a list of the main events of the story.,K1-REMEMBER
Name three 19th-century women English authors.,K1-REMEMBER
Name all the characters in the story.,K1-REMEMBER
Define morphology,K1-REMEMBER
Label the parts of the diagram,K1-REMEMBER
Define factors of production.,K1-REMEMBER
Define electronic commerce.,K1-REMEMBER
State any FOUR (4) characteristics of valuable information.,K1-REMEMBER
List and describe THREE (3) accounting cycles in an Accounting Information System.,K1-REMEMBER
State FOUR (4) basic business activities that are performed in the revenue cycle.,K1-REMEMBER
List any THREE (3) practical approaches for payment collection  in revenue cycle.,K1-REMEMBER
Briefly  describe  THREE  (3) types  of business  process  that  traditionally organized around functional areas of business. Provide an example of each.,K1-REMEMBER
Identify ONE (1) most likely error of the following quotation.,K1-REMEMBER
List any TWO (2) real life examples of  the  organization  that implement the clicks-and-bricks B2C E-Commerce.,K1-REMEMBER
Provide THREE (3) examples of input devices.,K1-REMEMBER
List   THREE  (3) advantages  and  TWO  (2)  disadvantages codification.,K1-REMEMBER
Give FIVE (5) guidelines when creating storyboarding.,K1-REMEMBER
Define pixel.,K1-REMEMBER
Multimedia is shifting from being localized (contained on a CD-ROM) to being distributed (available on the World Wide Web). Give FIVE (5) implications on this.,K1-REMEMBER
Give FOUR (4) advantages of multimedia application in education.,K1-REMEMBER
Describe what multimedia is.,K1-REMEMBER
Define FOUR (4) common authoring metaphors and its advantages and disadvantages.,K1-REMEMBER
Outline THREE (3) uses of digital audio in the multimedia presentation.,K1-REMEMBER
Fill in the detail of typeface properties base on the following illustration.,K1-REMEMBER
"Nancy  intends  to  include  text  for  her  multimedia  presentation.  As a multimedia specialist, provide TWO (2) guidelines to Nancy when working with text.",K1-REMEMBER
Name the keyword in an ABAP program that can be used to invoke the debugging mode.,K1-REMEMBER
Give the three (3) categories of primitive data types and briefly explain what each category is used for.,K1-REMEMBER
Provide three (3) situations whereby it will be useful to use reference variables as parameters.,K1-REMEMBER
Provide the suitable commands to help her to compile and run her Java program.,K1-REMEMBER
Name five types of common dialog boxes.,K1-REMEMBER
State  the  differences  between  Items Add  method  and  Items Insert Method in Combo Box.,K1-REMEMBER
Describe about application and web servers.,K1-REMEMBER
Identify some of the most important possible dimensions that should be included in the data modelling design.,K1-REMEMBER
Describe ANY FIVE (5) possible scenarios of the project failure.,K1-REMEMBER
Identify the HP's challenges in text mining.,K1-REMEMBER
Information systems value is determined by the strong relationships among THREE (3) major components. Name them.,K1-REMEMBER
Cloud computing evolved from earlier technologies. State them.,K1-REMEMBER
Define privacy.,K1-REMEMBER
Define the term Radio Frequency Identification (RFID).,K1-REMEMBER
Define knowledge and provide an example of knowledge produced by a vehicle management system.,K1-REMEMBER
Specify TWO (2) limitations of k-means clustering.,K1-REMEMBER
Identify PayPal's business model.,K1-REMEMBER
State three methods that could be used to determine the adequate number of factors in the solution.,K1-REMEMBER
Indicate the variables that are important in each of the canonical variates.,K1-REMEMBER
Write the first pair of standardised canonical variates.,K1-REMEMBER
Define transgenic crops.,K1-REMEMBER
List four traits commonly used for the development of transgenic crops.,K1-REMEMBER
State TWO (2) advantages of continuous bioreactors over batch bioreactors.,K1-REMEMBER
Name a major culture collection.,K1-REMEMBER
List FIVE (5) functions of Department of Safety and Health as outline in OSHA 1994.,K1-REMEMBER
Define the term project in the context of project management.,K1-REMEMBER
Define standard operating procedures as highlighted.,K1-REMEMBER
List any SEVEN (7) suggestions for good presentation of your business plan as it is very crucial to convince potential consumers and financers.,K1-REMEMBER
List the advantages and disadvantages of Public Offering.,K1-REMEMBER
Define brand audit.,K1-REMEMBER
Define factors of production.,K1-REMEMBER
Define electronic commerce.,K1-REMEMBER
State any FOUR (4) characteristics of valuable information.,K1-REMEMBER
List and describe THREE (3) accounting cycles in an Accounting Information System.,K1-REMEMBER
State FOUR (4) basic business activities that are performed in the revenue cycle.,K1-REMEMBER
List any THREE (3) practical approaches for payment collection  in revenue cycle.,K1-REMEMBER
Briefly  describe  THREE  (3) types  of business  process  that  traditionally organized around functional areas of business. Provide an example of each.,K1-REMEMBER
Identify ONE (1) most likely error of the following quotation.,K1-REMEMBER
List any TWO (2) real life examples of  the  organization  that implement the clicks-and-bricks B2C E-Commerce.,K1-REMEMBER
Provide THREE (3) examples of input devices.,K1-REMEMBER
List   THREE  (3) advantages  and  TWO  (2)  disadvantages codification.,K1-REMEMBER
Information systems value is determined by the strong relationships among THREE (3) major components. Name them.,K1-REMEMBER
Cloud computing evolved from earlier technologies. State them.,K1-REMEMBER
Define privacy.,K1-REMEMBER
Define the term Radio Frequency Identification (RFID).,K1-REMEMBER
Define knowledge and provide an example of knowledge produced by a vehicle management system.,K1-REMEMBER
Identify PayPal's business model.,K1-REMEMBER
List FIVE (5) functions of Department of Safety and Health as outline in OSHA 1994.,K1-REMEMBER
Define the term project in the context of project management.,K1-REMEMBER
Define standard operating procedures as highlighted.,K1-REMEMBER
Presenting the business plan is very crucial to convince potential consumers and financers. List any SEVEN (7) suggestions for good presentation of your business plan.,K1-REMEMBER
List the advantages and disadvantages of Public Offering.,K1-REMEMBER
Define brand audit.,K1-REMEMBER
List three characteristics that are unique to the Cubist movement.,K1-REMEMBER
Identify ordinal positions,K1-REMEMBER
Identify fractions from a pictorial representation,K1-REMEMBER
Which of the two liquids is hypotonic ,K1-REMEMBER
Label the parts of the following insects: Grasshopper,K1-REMEMBER
recall the supply voltage constraints,K1-REMEMBER
What is the setting of To Kill a Mockingbird?,K1-REMEMBER
When did you born ?,K1-REMEMBER
in which continent does the state of suriname fall,K1-REMEMBER
Recall the following pictoral example of an implementation of some queue operations,K1-REMEMBER
Identify the correct definition of osmosis.,K1-REMEMBER
List the steps involved in titration.,K1-REMEMBER
List four types of clauses mentioned in the article,K1-REMEMBER
when was the first airport in the yemen built,K1-REMEMBER
Name 5 steps that follow the taking of notes (within 24 hours or less)?,K1-REMEMBER
How much did he pay for his car,K1-REMEMBER
State the rule for using a semicolon in a sentence.,K1-REMEMBER
when did the first saudi radio station open,K1-REMEMBER
